# # Data created from North_Kensington between 2010/01/01-2018/02/08 guassian weighting with respect to wavelength and radii with geometric std dev of 1.6 
# # radius [m],1,2,3,4,5,6,7,8,9,10,11,12
2.746235161535733359e-11,1.783641165786417886e-05,1.418933064621460705e-05,1.125850332689812118e-05,1.195209908872209597e-05,1.403713033464480294e-05,1.511011829829717946e-05,1.371308921670255189e-05,1.573023718103840348e-05,2.045010312331902615e-05,2.003436522310523255e-05,1.980801750945047394e-05,1.845829261671410495e-05
2.807250050302815199e-11,1.808419541222826721e-05,1.438644908492755082e-05,1.141490665934396598e-05,1.211813786606792188e-05,1.423213440386347305e-05,1.532002833571230203e-05,1.390359170072540592e-05,1.594876192122215294e-05,2.073419632699710776e-05,2.031268298831312357e-05,2.008319084815217634e-05,1.871471555268967225e-05
2.868427210266499066e-11,1.833592170995247155e-05,1.458670391970088499e-05,1.157379856058651855e-05,1.228681852395327650e-05,1.443024122693109903e-05,1.553327829920513460e-05,1.409712531285250268e-05,1.617076365796787493e-05,2.102280980189811496e-05,2.059542913043548653e-05,2.036274253208868477e-05,1.897521849200010734e-05
2.929715803685329301e-11,1.859151871360100822e-05,1.479003800198078956e-05,1.173513368619067146e-05,1.245809292443608851e-05,1.463139426829160313e-05,1.574980733168306090e-05,1.429363482262652585e-05,1.639617903660921109e-05,2.131586118375541938e-05,2.088252295961998950e-05,2.064659278303938915e-05,1.923972709253912738e-05
2.991067188513480840e-11,1.885091086503643950e-05,1.499639122329826077e-05,1.189886434318101311e-05,1.263191043634881693e-05,1.483553406422287511e-05,1.596955142406051578e-05,1.449306213901966660e-05,1.662494142112939537e-05,2.161326384238066353e-05,2.117387960681610414e-05,2.093465769080218267e-05,1.950816316177370397e-05
3.052434927803938395e-11,1.911401917986788233e-05,1.520570074951031959e-05,1.206494067590015859e-05,1.280821813260683278e-05,1.504259845456558284e-05,1.619244366470092502e-05,1.469534653681292460e-05,1.685698115383991899e-05,2.191492721925974665e-05,2.146941035450818322e-05,2.122684954018944011e-05,1.978044496145815197e-05
3.113774787583535050e-11,1.938076153810862270e-05,1.541790125202575584e-05,1.223331084947442581e-05,1.298696098497706886e-05,1.525252281146850062e-05,1.641841448564735015e-05,1.490042488006104326e-05,1.709222581171667473e-05,2.222075716080234217e-05,2.176902296318990716e-05,2.152307713381443888e-05,2.005648750842606960e-05
3.175044724955008959e-11,1.965105296998304670e-05,1.563292513517185121e-05,1.240392123021774685e-05,1.316808205559548279e-05,1.546524026431652786e-05,1.664739190474377658e-05,1.510823184182816722e-05,1.733060045845770389e-05,2.253065624603012898e-05,2.207262199239091964e-05,2.182324610949071836e-05,2.033620287036145673e-05
3.236204867929443039e-11,1.992480593588256624e-05,1.585070275890697807e-05,1.257671656234259005e-05,1.335152268456493085e-05,1.568068192005443978e-05,1.687930176280014093e-05,1.531870011942533641e-05,1.757202789138158423e-05,2.284452410755689100e-05,2.238010911513158187e-05,2.212725925113422887e-05,2.061950045551672923e-05
3.297217488269626254e-11,2.020193059954890298e-05,1.607116265614456780e-05,1.275164014039520561e-05,1.353722267301328247e-05,1.589877707817943822e-05,1.711406795501894059e-05,1.553176064444040976e-05,1.781642888235187756e-05,2.316225774480260878e-05,2.269138342476971761e-05,2.243501679214331316e-05,2.090628729541940437e-05
3.358046968430993961e-11,2.048233509364590720e-05,1.629423174402277222e-05,1.292863397688747092e-05,1.372512046105248099e-05,1.611945343974513888e-05,1.735161265597511945e-05,1.574734278691677846e-05,1.806372241198993210e-05,2.348375182848178356e-05,2.300634173329880013e-05,2.274641671032687454e-05,2.119646831970440891e-05
3.418659763520934423e-11,2.076592577698086161e-05,1.651983552853042550e-05,1.310763896465689096e-05,1.391515330014105956e-05,1.634263730979225083e-05,1.759185653752062993e-05,1.596537455311156269e-05,1.831382589652245566e-05,2.380889899551683311e-05,2.332487886026589978e-05,2.306135501355797803e-05,2.148994662230279881e-05
3.479024359057317373e-11,2.105260748273072566e-05,1.674789830197784095e-05,1.328859503354958569e-05,1.410725741941973641e-05,1.656825379270139445e-05,1.783471897906965239e-05,1.618578277633834846e-05,1.856665540669691993e-05,2.413759013363910884e-05,2.364688791158714418e-05,2.337972601543913406e-05,2.178662371832326735e-05
3.539111225190552760e-11,2.134228375713509163e-05,1.697834333288296302e-05,1.347144130108503035e-05,1.430136818565804728e-05,1.679622698004235614e-05,1.808011826980704707e-05,1.640849330048009102e-05,1.882212587828819430e-05,2.446971465505856302e-05,2.397226054765330734e-05,2.370142260037929417e-05,2.208639979106687132e-05
3.598892767957570999e-11,2.163485708821375251e-05,1.721109304792235888e-05,1.365611621682505748e-05,1.449742025651740340e-05,1.702648013057355997e-05,1.832797180244695779e-05,1.663343115583384581e-05,1.908015131380945409e-05,2.480516075869734641e-05,2.430088724023326272e-05,2.402633647759421385e-05,2.238917392871904135e-05
3.658343278057653477e-11,2.193022912417034244e-05,1.744606920567697808e-05,1.384255770023192494e-05,1.469534772690216066e-05,1.725893584212392795e-05,1.857819625825283768e-05,1.686052072702407954e-05,1.934064497512539237e-05,2.514381568059731816e-05,2.463265751779003570e-05,2.435435842365149092e-05,2.269484435036852975e-05
3.717438877577171790e-11,2.222830088123700361e-05,1.768319306197779162e-05,1.403070327186172038e-05,1.489508426823536337e-05,1.749351621516536745e-05,1.883070778311364719e-05,1.708968591279973184e-05,1.960351956675427992e-05,2.548556593222182191e-05,2.496746019893841855e-05,2.468537851329023191e-05,2.300330862109818328e-05
